pair_set_id	pair_id	leaderboard_eval_type
Normal-Normal	exome-HCC1143-nn-full-180-182	NormalNormal
Normal-Normal	exome-HCC1143-nn-full-180-181	NormalNormal
Normal-Normal	exome-HCC1143-nn-full-182-180	NormalNormal
Normal-Normal	exome-HCC1143-nn-full-182-181	NormalNormal
Normal-Normal	exome-HCC1143-nn-full-181-180	NormalNormal
Normal-Normal	exome-HCC1143-nn-full-181-182	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-186-188	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-186-187	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-188-186	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-188-187	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-187-186	NormalNormal
Normal-Normal	exome-HCC1954-nn-full-187-188	NormalNormal
Normal-Normal	exome-NA12878-nn-full-191-192	NormalNormal
Normal-Normal	exome-NA12878-nn-full-192-191	NormalNormal
HCC1954	exome-HCC1954-tn-full-183-186	HCC1954
HCC1954	exome-HCC1954-tn-full-183-187	HCC1954
HCC1954	exome-HCC1954-tn-full-183-188	HCC1954
HCC1954	exome-HCC1954-tn-full-184-186	HCC1954
HCC1954	exome-HCC1954-tn-full-184-187	HCC1954
HCC1954	exome-HCC1954-tn-full-184-188	HCC1954
HCC1954	exome-HCC1954-tn-full-185-186	HCC1954
HCC1954	exome-HCC1954-tn-full-185-187	HCC1954
HCC1954	exome-HCC1954-tn-full-185-188	HCC1954
HCC1143	exome-HCC1143-tn-full-177-180	HCC1143
HCC1143	exome-HCC1143-tn-full-177-181	HCC1143
HCC1143	exome-HCC1143-tn-full-177-182	HCC1143
HCC1143	exome-HCC1143-tn-full-178-180	HCC1143
HCC1143	exome-HCC1143-tn-full-178-181	HCC1143
HCC1143	exome-HCC1143-tn-full-178-182	HCC1143
HCC1143	exome-HCC1143-tn-full-179-180	HCC1143
HCC1143	exome-HCC1143-tn-full-179-181	HCC1143
HCC1143	exome-HCC1143-tn-full-179-182	HCC1143
